Id,Name,DOB
Hammoaj01,A.J. Hammons,8/27/1992
Priceaj01,A.J. Price,10/7/1986
Brookaa01,Aaron Brooks,1/14/1985
Gordoaa01,Aaron Gordon,9/16/1995
Grayaa01,Aaron Gray,12/7/1984
Harriaa01,Aaron Harrison,10/28/1994
Holidaa01,Aaron Holiday,9/30/1996
Jacksaa01,Aaron Jackson,5/6/1986
Naderab01,Abdel Nader,9/25/1993
Morriad01,Adam Morrison,7/19/1984
Thomaad01,Adonis Thomas,3/25/1993
Paynead01,Adreian Payne,2/19/1991
Aminual01,Al-Farouq Aminu,9/21/1990
Harrial01,Al Harrington,2/17/1980
Horfoal01,Al Horford,6/3/1986
Jeffeal01,Al Jefferson,1/4/1985
Anderal01,Alan Anderson,10/16/1982
Willial03,Alan Williams,1/28/1993
Burksal01,Alec Burks,7/20/1991
Peteral01,Alec Peters,4/13/1995
Ackeral01,Alex Acker,1/21/1983
Carusal01,Alex Caruso,2/28/1994
Kirkal01,Alex Kirk,11/14/1991
Lenal01,Alex Len,6/16/1993
Poythal01,Alex Poythress,9/6/1993
Stephal01,Alex Stepheson,8/7/1987
Shvedal01,Alexey Shved,12/16/1988
Mckinal01,Alfonzo McKinnie,9/17/1992
Johnsal02,Alize Johnson,4/22/1996
Houstal01,Allan Houston,4/20/1971
Crabbal01,Allen Crabbe,4/9/1992
Iversal01,Allen Iverson,6/7/1975
Trieral01,Allonzo Trier,1/17/1996
Geeal01,Alonzo Gee,5/29/1987
Mournal01,Alonzo Mourning,2/8/1970
Stoudam01,Amar'e Stoudemire,11/16/1982
Jeffeam01,Amile Jefferson,5/7/1993
Johnsam01,Amir Johnson,5/1/1987
Blatcan01,Andray Blatche,8/22/1986
Dawkian01,Andre Dawkins,9/19/1991
Drumman01,Andre Drummond,8/10/1993
Iguodan01,Andre Iguodala,1/28/1984
Ingraan01,Andre Ingram,11/19/1985
Millean02,Andre Miller,3/19/1976
Roberan03,Andre Roberson,12/4/1991
Bargnan01,Andrea Bargnani,10/26/1985
Kirilan01,Andrei Kirilenko,2/18/1981
Bogutan01,Andrew Bogut,11/28/1984
Bynuman01,Andrew Bynum,10/27/1987
Goudean01,Andrew Goudelock,12/7/1988
Harrian01,Andrew Harrison,10/28/1994
Nichoan01,Andrew Nicholson,12/8/1989
Whitean01,Andrew White,6/16/1993
Wiggian01,Andrew Wiggins,2/23/1995
Hardaan01,Anfernee Hardaway,7/18/1971
Simonan01,Anfernee Simons,6/8/1999
Jamisan01,Antawn Jamison,6/12/1976
Bennean01,Anthony Bennett,3/14/1993
Brownan02,Anthony Brown,10/10/1992
Davisan02,Anthony Davis,3/11/1993
Morroan01,Anthony Morrow,9/27/1985
Parkean01,Anthony Parker,6/19/1975
Randoan01,Anthony Randolph,7/15/1989
Tollian01,Anthony Tolliver,6/1/1985
Walkean02,Antoine Walker,8/12/1976
Blakean01,Antonio Blakeney,10/4/1996
Mcdyean01,Antonio McDyess,9/7/1974
Clevean01,Antonius Cleveland,2/2/1994
Goodwar01,Archie Goodwin,8/17/1994
Onuakar01,Arinze Onuaku,7/13/1987
Johnsar02,Armon Johnson,2/23/1989
Moultar01,Arnett Moultrie,11/18/1990
Baynear01,Aron Baynes,12/9/1986
Afflaar01,Arron Afflalo,10/15/1985
Dayeau01,Austin Daye,6/5/1988
Riverau01,Austin Rivers,8/1/1992
Bradlav01,Avery Bradley,11/26/1990
Toupaax01,Axel Toupane,7/23/1992
Johnsbj01,B.J. Johnson,12/21/1995
Davisba01,Baron Davis,4/13/1979
Bentibe01,Ben Bentil,3/29/1995
Gordobe01,Ben Gordon,4/4/1983
Hansbbe01,Ben Hansbrough,12/23/1987
Mclembe01,Ben McLemore,2/11/1993
Moorebe01,Ben Moore,5/13/1995
Simmobe01,Ben Simmons,7/20/1996
Udrihbe01,Beno Udrih,7/5/1982
Jamesbe01,Bernard James,2/7/1985
Garrebi01,Billy Garrett,10/16/1994
Biyombi01,Bismack Biyombo,8/28/1992
Ahearbl01,Blake Ahearn,5/27/1984
Griffbl01,Blake Griffin,3/16/1989
Marjabo01,Boban Marjanovic,8/15/1988
Brownbo02,Bobby Brown,9/24/1984
Portibo01,Bobby Portis,2/10/1995
Bogdabo01,Bogdan Bogdanovic,8/18/1992
Bogdabo02,Bojan Bogdanovic,4/18/1989
Colsobo01,Bonzie Colson,1/12/1996
Diawbo01,Boris Diaw,4/16/1982
Wanambr01,Brad Wanamaker,7/25/1989
Bealbr01,Bradley Beal,6/28/1993
Wrighbr03,Brandan Wright,10/5/1987
Bassbr01,Brandon Bass,4/30/1985
Daviebr01,Brandon Davies,7/25/1991
Goodwbr01,Brandon Goodwin,10/2/1995
Ingrabr01,Brandon Ingram,9/2/1997
Jennibr01,Brandon Jennings,9/23/1989
Knighbr03,Brandon Knight,12/2/1991
Paulbr01,Brandon Paul,4/30/1991
Roybr01,Brandon Roy,7/23/1984
Rushbr01,Brandon Rush,7/7/1985
Sampsbr01,Brandon Sampson,5/1/1997
Haywobr01,Brendan Haywood,11/27/1979
Barrybr01,Brent Barry,12/31/1971
Cookbr01,Brian Cook,12/4/1980
Roberbr01,Brian Roberts,12/3/1985
Scalabr01,Brian Scalabrine,3/18/1978
Weberbr01,Briante Weber,12/29/1992
Johnsbr02,Brice Johnson,6/27/1994
