Id,Player,DOB,PER_avg,GP_avg,Seasons
Meeksjo01,Jodie Meeks,8/21/1987,236.8909674180705,3.0,1
Brookaa01,Aaron Brooks,1/14/1985,172.58134884466043,3.0,1
Mitchdo01,Donovan Mitchell,9/7/1996,116.9031758014155,3.5,2
Rideris01,Isaiah Rider,3/12/1971,89.57134713330849,4.0,1
Youngtr01,Trae Young,9/19/1998,82.19292890251721,7.0,1
Obertfa01,Fabricio Oberto,3/21/1975,81.28887475145382,3.0,1
Jordami01,Michael Jordan,2/17/1963,68.846788668635,11.5,2
Gordobe01,Ben Gordon,4/4/1983,65.09759727425725,5.0,1
Bogdabo01,Bogdan Bogdanovic,8/18/1992,63.17239551037368,3.0,1
Rosste01,Terrence Ross,2/5/1991,59.724780204176994,3.0,2
Turneev01,Evan Turner,10/27/1988,57.22125641507027,4.5,2
Thomais02,Isaiah Thomas,2/7/1989,57.14298993085064,3.0,1
Starkjo01,John Starks,8/10/1965,56.70022539642358,3.0,1
Stuckro01,Rodney Stuckey,4/21/1986,56.07345829425898,3.0,1
Murraja01,Jamal Murray,2/23/1997,55.12537802826561,6.5,2
Holidjr01,Jrue Holiday,6/12/1990,53.61374054880846,4.75,4
Arenagi01,Gilbert Arenas,1/6/1982,52.426858937737315,4.0,2
Ellismo01,Monta Ellis,10/26/1985,51.89209887886862,4.0,1
Johnsla02,Larry Johnson,3/14/1969,51.67764504157297,7.0,2
Johnsla01,Larry Johnson,11/28/1954,51.67764504157297,7.0,2
Masonde01,Desmond Mason,10/11/1977,50.3815011861711,4.0,1
Mahinia01,Ian Mahinmi,11/5/1986,48.82243851147857,3.0,1
Kerseje01,Jerome Kersey,6/26/1962,48.377208247914446,3.0,1
Boykiea01,Earl Boykins,6/2/1976,47.85774315654428,3.0,1
Johnsed02,Eddie Johnson,2/24/1955,47.81042663347641,3.0,1
Johnsed03,Eddie Johnson,5/1/1959,47.81042663347641,3.0,1
Ewingpa02,Patrick Ewing,5/20/1984,47.80193158972422,5.5,2
Ewingpa01,Patrick Ewing,8/5/1962,47.80193158972422,5.5,2
Roziete01,Terry Rozier,3/17/1994,47.517528208993504,6.0,1
Jamesle01,LeBron James,12/30/1984,45.021327367577534,7.0,14
Krstine01,Nenad Krstic,7/25/1983,44.04005872834546,5.0,1
Davisan02,Anthony Davis,3/11/1993,43.866135225643774,4.0,2
Maxweve01,Vernon Maxwell,9/12/1965,43.02876404619885,3.0,1
Besttr01,Travis Best,7/12/1972,42.82907295035822,5.333333333333333,3
Campbel01,Elden Campbell,7/23/1968,41.96383234442667,3.0,1
Armstda01,Darrell Armstrong,6/22/1968,41.81035879605126,3.0,1
Buckngr01,Greg Buckner,9/16/1976,41.667620859500374,3.0,1
Divacvl01,Vlade Divac,2/3/1968,41.0848246088298,4.75,4
Elliose01,Sean Elliott,2/2/1968,40.93925954337272,7.0,1
Brewero02,Ronnie Brewer,3/20/1985,40.806355116040955,6.0,1
Hardeja01,James Harden,8/26/1989,38.78412386338363,6.111111111111111,9
Ratlith01,Theo Ratliff,4/17/1973,37.97730423260925,4.0,1
Bryanko01,Kobe Bryant,8/23/1978,37.890777791878946,6.230769230769231,13
Morrich01,Chris Morris,1/20/1966,37.675320262518596,4.0,1
Lopezro01,Robin Lopez,4/1/1988,37.29930643552336,4.0,1
Kukocto01,Toni Kukoc,9/18/1968,37.1409762810416,6.75,4
