Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Kawhi Leonard,TOR,28,12,7,5,1.8,2.1,0.5,1.5,33.3,0.2,0.8,22.2,0.9,1.1,84.6,0.1,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.2
Stephen Curry,GSW,31,12,7,5,1.7,1.8,0.4,1.2,35.7,0.3,0.8,44.4,0.6,0.6,100.0,0.1,0.3,0.3,0.2,0.2,0.0,0.0,0.1,1.2
Andre Iguodala,GSW,35,11,6,5,1.5,0.5,0.2,0.2,100.0,0.2,0.2,100.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.1,0.2,1.5
Draymond Green,GSW,29,11,6,5,1.8,0.2,0.1,0.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.7,0.4,0.3,0.0,0.2,0.1,1.1
Marc Gasol,TOR,34,11,6,5,1.8,0.3,0.1,0.4,25.0,0.0,0.2,0.0,0.1,0.2,50.0,0.1,0.3,0.4,0.0,0.1,0.0,0.1,0.0,0.0
Klay Thompson,GSW,29,10,6,4,1.8,1.1,0.4,0.7,57.1,0.3,0.5,60.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.1,0.1,0.0,0.4,1.3
Kyle Lowry,TOR,33,10,6,4,1.9,0.2,0.1,0.3,33.3,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.2,0.1,0.0,0.0,0.6
Pascal Siakam,TOR,25,10,6,4,1.8,1.5,0.6,1.1,54.5,0.0,0.1,0.0,0.3,0.7,42.9,0.4,0.2,0.6,0.1,0.0,0.1,0.0,0.1,0.1
Danny Green,TOR,32,9,4,5,1.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,-1.2
CJ McCollum,POR,27,7,4,3,2.1,0.9,0.4,1.1,37.5,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,-1.0
Chris Paul,HOU,34,7,4,3,1.5,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.6,75.0,0.3,0.3,0.6,0.1,0.1,0.3,0.0,0.0,-0.1
Damian Lillard,POR,28,7,4,3,2.1,2.3,0.7,1.7,41.7,0.4,0.9,50.0,0.4,0.6,75.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.1,-1.0
Eric Gordon,HOU,30,7,4,3,1.5,0.4,0.1,0.3,50.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Fred VanVleet,TOR,25,7,5,2,1.6,0.4,0.1,0.3,50.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.3
