Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Cleveland Cavaliers,8,6,2,1.9,3.6,0.8,2.1,35.3,0.0,0.3,0.0,2.1,2.9,73.9,0.4,1.6,2.0,0.3,0.9,0.6,0.4,1.8,-0.4,117.27
Miami Heat,8,6,2,1.9,4.9,1.4,3.0,45.8,0.3,0.8,33.3,1.9,3.1,60.0,0.6,1.1,1.8,0.3,0.1,0.6,0.0,1.3,1.4,114.12
Phoenix Suns,8,5,3,2.0,4.5,1.4,3.4,40.7,0.6,1.4,45.5,1.1,1.4,81.8,0.4,1.4,1.8,1.1,0.5,0.0,0.3,0.6,1.5,99.95
San Antonio Spurs,9,5,4,2.8,5.8,1.9,4.3,43.6,0.7,0.9,75.0,1.3,1.9,70.6,0.3,1.4,1.8,1.1,0.7,0.3,0.2,1.9,0.2,96.1
Detroit Pistons,6,3,3,1.6,2.7,0.3,2.8,11.8,0.0,0.5,0.0,2.0,3.2,63.2,1.7,1.2,2.8,0.2,0.8,0.5,0.0,1.0,0.3,105.63
Los Angeles Lakers,4,2,2,1.7,2.8,1.0,2.3,44.4,0.3,0.5,50.0,0.5,0.5,100.0,0.0,1.3,1.3,0.5,0.0,0.3,0.0,0.5,-1.5,88.28
Los Angeles Clippers,5,2,3,1.9,2.6,0.6,2.4,25.0,0.4,1.4,28.6,1.0,1.6,62.5,0.2,1.2,1.4,0.6,0.8,0.0,0.8,1.0,-0.8,94.07
New Jersey Nets,5,2,3,1.7,4.4,1.8,3.4,52.9,0.2,0.6,33.3,0.6,0.8,75.0,0.6,1.2,1.8,1.2,0.2,0.2,0.2,1.0,1.6,86.16
Dallas Mavericks,11,4,7,2.5,4.5,1.2,3.8,31.0,0.1,0.7,12.5,2.1,2.9,71.9,0.8,1.8,2.6,0.5,1.1,0.0,0.3,1.9,-1.1,106.86
Indiana Pacers,3,1,2,2.0,2.3,0.7,2.7,25.0,0.0,0.7,0.0,1.0,1.7,60.0,1.0,0.7,1.7,0.3,0.3,0.0,0.0,1.0,-4.3,80.11
Sacramento Kings,3,1,2,2.6,6.3,1.7,3.0,55.6,0.0,0.3,0.0,3.0,3.3,90.0,0.3,1.3,1.7,0.7,0.7,0.3,0.3,1.0,-1.3,96.81
Washington Wizards,4,1,3,1.5,5.3,1.5,3.3,46.2,0.5,1.0,50.0,1.8,2.8,63.6,0.5,0.5,1.0,1.0,0.5,1.0,0.3,1.5,1.3,136.7
