Id,Player,DOB,PER_avg,GP_avg,Seasons
Ellispe01,Pervis Ellison,4/3/1967,170.75479539269344,4.0,1
Haranlu01,Luke Harangody,1/2/1988,117.91971133237291,4.0,1
Breweja01,Jamison Brewer,11/19/1980,110.8580452419242,3.0,1
Healsh01,Shane Heal,9/6/1970,91.82484073386335,3.0,1
Bouchch01,Chris Boucher,1/11/1993,88.90538757245201,10.0,2
Haddaha01,Hamed Haddadi,5/19/1985,82.98517715171818,3.0,1
Hairsma01,Malik Hairston,2/23/1987,81.4596187753076,5.0,1
Kinseta01,Tarence Kinsey,3/21/1984,78.83455661888536,5.0,1
Montrer01,Eric Montross,9/23/1971,73.18854373815246,6.666666666666667,3
Sloando01,Donald Sloan,1/15/1988,71.36935476600723,7.0,2
Whiteok01,Okaro White,8/13/1992,69.64748180233303,3.0,1
Mcphepa01,Paul McPherson,7/3/1978,60.94364924177096,4.0,1
Rhodero01,Rodrick Rhodes,9/24/1973,60.490879821870635,5.0,1
Hudsole01,Lester Hudson,8/7/1984,57.35332674292711,4.0,1
Motenla01,Lawrence Moten,3/25/1972,56.30022498390175,5.0,1
Dayeau01,Austin Daye,6/5/1988,53.976255940152825,7.5,4
Smithgr01,Greg Smith,1/28/1947,53.23673163731975,6.0,1
Smithgr02,Greg Smith,1/8/1991,53.23673163731975,6.0,1
Colesbi01,Bimbo Coles,4/22/1968,52.33543127484253,9.0,7
Marjabo01,Boban Marjanovic,8/15/1988,52.24620189989445,5.333333333333333,3
Gearyre01,Reggie Geary,8/31/1973,52.012155282826924,5.0,1
Gilgesh01,Shai Gilgeous-Alexander,7/12/1998,51.680199393425326,22.0,2
Recasel01,Eldridge Recasner,12/14/1967,49.839467015453124,13.5,2
Brownja01,Jabari Brown,12/18/1992,49.27572411612195,3.0,1
Westma01,Mark West,11/5/1960,49.24574236726762,3.0,1
Anderwi01,Willie Anderson,1/8/1967,47.522074788226945,4.0,1
Brownan01,Andre Brown,5/12/1981,47.12994186507098,3.0,2
