Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Monta Ellis,IND,30,41,19,22,2.0,1.1,0.3,1.0,35.0,0.0,0.2,20.0,0.4,0.6,64.0,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.1,0.0
Paul George,IND,26,41,19,22,2.1,1.5,0.4,1.2,33.3,0.0,0.4,6.7,0.7,0.9,80.0,0.0,0.3,0.3,0.1,0.1,0.1,0.0,0.1,0.0
Andrew Wiggins,MIN,21,40,18,22,1.8,1.5,0.4,0.8,45.5,0.0,0.0,0.0,0.7,1.0,76.3,0.2,0.2,0.3,0.2,0.2,0.1,0.0,0.4,-0.1
George Hill,IND,30,37,18,19,2.0,0.2,0.1,0.3,16.7,0.1,0.1,40.0,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.1,0.0,0.1,-0.1
James Harden,HOU,26,37,21,16,1.9,1.5,0.3,1.2,26.1,0.1,0.5,26.3,0.7,0.8,86.7,0.1,0.5,0.5,0.4,0.3,0.1,0.1,0.4,-0.1
Karl-Anthony Towns,MIN,20,37,17,20,1.8,0.6,0.2,0.5,40.0,0.0,0.1,33.3,0.1,0.1,100.0,0.2,0.4,0.6,0.1,0.1,0.0,0.1,0.3,0.5
Ricky Rubio,MIN,25,36,17,19,1.8,0.9,0.1,0.4,30.8,0.1,0.1,40.0,0.7,0.7,96.0,0.1,0.4,0.5,0.3,0.0,0.1,0.0,0.3,0.1
Russell Westbrook,OKC,27,36,18,18,1.7,1.6,0.5,1.2,41.9,0.1,0.3,33.3,0.5,0.6,90.5,0.1,0.5,0.6,0.3,0.3,0.1,0.0,0.3,0.5
Trevor Ariza,HOU,31,35,20,15,2.0,0.5,0.1,0.5,22.2,0.1,0.4,14.3,0.2,0.3,70.0,0.0,0.3,0.3,0.1,0.1,0.1,0.0,0.2,-0.2
Jimmy Butler,CHI,26,34,19,15,1.9,1.5,0.4,0.8,50.0,0.1,0.3,40.0,0.6,0.7,87.0,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.7
Pau Gasol,CHI,35,34,18,16,1.8,0.8,0.2,0.6,36.8,0.0,0.0,0.0,0.4,0.5,77.8,0.1,0.5,0.6,0.1,0.1,0.0,0.3,0.1,0.6
Serge Ibaka,OKC,26,34,17,17,1.5,0.2,0.1,0.2,50.0,0.0,0.0,100.0,0.0,0.1,50.0,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.3,0.3
DeMar DeRozan,TOR,26,33,18,15,1.8,2.2,0.7,1.5,44.9,0.0,0.1,50.0,0.8,1.0,82.4,0.1,0.2,0.4,0.1,0.1,0.0,0.0,0.2,0.8
Dirk Nowitzki,DAL,38,33,15,18,2.0,1.1,0.3,1.1,30.6,0.1,0.5,25.0,0.3,0.3,100.0,0.0,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.3
Gordon Hayward,UTA,26,33,12,21,2.1,1.2,0.3,0.8,42.3,0.1,0.2,33.3,0.5,0.6,81.0,0.2,0.1,0.3,0.2,0.2,0.1,0.0,0.2,-1.6
Kyle Lowry,TOR,30,33,18,15,1.8,0.9,0.3,1.0,31.3,0.0,0.3,9.1,0.3,0.4,76.9,0.0,0.3,0.3,0.2,0.2,0.1,0.0,0.6,0.8
Wesley Matthews,DAL,29,33,15,18,1.9,0.5,0.2,0.5,33.3,0.0,0.2,12.5,0.1,0.2,80.0,0.0,0.2,0.2,0.1,0.0,0.1,0.0,0.2,-0.4
Dion Waiters,OKC,24,32,16,16,1.5,0.3,0.1,0.3,50.0,0.0,0.1,0.0,0.0,0.0,100.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0.3
Evan Fournier,ORL,23,32,13,19,2.0,0.9,0.3,0.8,34.6,0.1,0.4,33.3,0.2,0.2,85.7,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.3,-0.5
Gary Harris,DEN,21,32,16,16,1.5,0.5,0.1,0.4,30.8,0.0,0.3,12.5,0.2,0.2,100.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.3,-0.1
Ian Mahinmi,IND,29,32,16,16,1.7,0.3,0.1,0.2,50.0,0.0,0.0,0.0,0.2,0.3,55.6,0.3,0.3,0.6,0.0,0.1,0.1,0.1,0.3,-0.1
Joe Johnson,MIA,35,32,13,19,1.8,1.2,0.3,0.8,40.7,0.1,0.3,40.0,0.3,0.3,100.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.1,-0.7
Kevin Durant,OKC,27,32,17,15,1.8,2.3,0.8,1.8,45.6,0.3,0.7,38.1,0.4,0.5,80.0,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.1,0.7
Rodney Hood,UTA,23,32,12,20,2.0,1.2,0.4,1.1,38.2,0.1,0.4,25.0,0.3,0.4,75.0,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.3,-1.4
Zach LaVine,MIN,21,32,13,19,1.6,0.8,0.3,0.6,44.4,0.1,0.2,40.0,0.2,0.3,87.5,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.2,-0.2
Isaiah Thomas,BOS,27,31,15,16,1.6,1.3,0.4,0.8,48.0,0.0,0.1,33.3,0.5,0.6,78.9,0.1,0.2,0.3,0.2,0.1,0.1,0.0,0.2,-0.4
Jamal Crawford,LAC,36,31,19,12,1.3,1.1,0.2,0.5,46.7,0.1,0.2,60.0,0.6,0.7,85.7,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,1.4
Will Barton,DEN,25,31,18,13,1.3,1.0,0.2,0.5,41.2,0.0,0.3,12.5,0.5,0.6,88.9,0.0,0.5,0.5,0.1,0.1,0.0,0.0,0.1,0.6
Al Horford,ATL,30,30,13,17,1.9,0.6,0.2,0.6,38.9,0.0,0.1,0.0,0.1,0.2,50.0,0.2,0.3,0.5,0.1,0.0,0.0,0.1,0.2,0.5
DeAndre Jordan,LAC,27,30,20,10,1.7,0.6,0.2,0.3,66.7,0.0,0.0,0.0,0.2,0.5,46.7,0.2,0.5,0.6,0.0,0.0,0.0,0.2,0.2,0.5
Dwight Howard,HOU,30,30,16,14,1.8,0.5,0.1,0.2,60.0,0.0,0.0,0.0,0.3,0.5,64.3,0.2,0.4,0.6,0.0,0.0,0.0,0.1,0.2,-0.2
Jae Crowder,BOS,25,30,13,17,1.6,1.1,0.3,0.5,66.7,0.1,0.3,50.0,0.3,0.3,90.0,0.1,0.2,0.3,0.2,0.1,0.2,0.0,0.4,-0.9
Victor Oladipo,ORL,24,30,11,19,1.8,0.8,0.2,0.7,31.8,0.1,0.3,33.3,0.2,0.2,100.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,-0.5
Avery Bradley,BOS,25,29,14,15,1.6,0.8,0.3,0.5,53.3,0.1,0.2,28.6,0.1,0.2,66.7,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.2,-0.5
Brook Lopez,BKN,28,29,12,17,1.7,1.1,0.3,0.7,50.0,0.0,0.0,0.0,0.4,0.6,76.5,0.2,0.3,0.5,0.1,0.2,0.1,0.2,0.3,-0.2
Cory Joseph,TOR,24,29,13,16,1.5,0.2,0.1,0.2,33.3,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.2,-0.3
Kyle Korver,ATL,35,29,12,17,1.7,0.3,0.1,0.3,22.2,0.1,0.2,28.6,0.1,0.1,100.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.9
