Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
New Orleans/Oklahoma City Hornets,41,24,17,1.8,4.0,1.3,3.0,44.0,0.2,0.6,32.0,1.1,1.4,79.7,0.4,1.1,1.5,0.5,0.7,0.3,0.1,1.2,0.1,103.62
Los Angeles Lakers,39,19,20,1.8,4.1,1.0,2.9,35.1,0.3,0.9,27.8,1.8,2.4,77.2,0.6,0.9,1.5,0.4,0.2,0.4,0.2,1.4,0.2,101.97
Minnesota Timberwolves,39,18,21,2.1,3.9,1.2,3.2,38.1,0.1,0.4,17.6,1.4,1.7,77.9,0.5,1.4,1.9,0.7,0.5,0.2,0.2,1.2,-0.6,98.12
New Jersey Nets,39,17,22,1.7,4.3,1.0,2.6,40.0,0.2,0.9,25.0,2.0,2.7,74.5,0.5,1.4,1.9,0.6,0.5,0.2,0.2,1.4,0.0,117.27
New York Knicks,39,20,19,2.0,4.7,1.4,3.1,43.4,0.4,1.0,37.5,1.6,2.1,78.0,0.6,1.4,2.0,0.6,0.7,0.2,0.2,1.2,-0.2,105.87
Washington Wizards,39,18,21,2.1,5.2,1.2,3.2,39.0,0.3,0.9,29.7,2.5,3.2,78.0,0.5,1.1,1.6,0.6,0.5,0.3,0.1,1.9,-0.9,115.99
Utah Jazz,38,22,16,2.0,5.4,1.7,3.7,44.7,0.5,1.5,33.9,1.6,1.9,83.3,0.5,1.2,1.7,1.1,0.4,0.2,0.2,1.3,1.0,104.23
Cleveland Cavaliers,37,22,15,1.7,4.4,1.3,2.9,44.4,0.2,0.8,19.4,1.6,2.3,72.6,0.5,0.9,1.5,0.7,0.4,0.4,0.0,0.9,1.0,103.57
Milwaukee Bucks,37,13,24,1.9,3.9,1.1,2.8,38.5,0.2,0.6,25.0,1.5,2.1,72.2,0.4,1.1,1.5,0.5,0.6,0.3,0.1,1.2,-0.6,107.13
Portland Trail Blazers,37,21,16,2.1,5.1,1.5,3.6,43.2,0.2,0.5,47.4,1.8,2.2,83.8,0.8,1.5,2.3,0.6,0.6,0.2,0.3,1.3,0.7,102.78
Seattle SuperSonics,36,14,22,2.2,4.4,1.3,3.6,36.9,0.3,0.9,28.1,1.5,2.0,73.6,0.7,1.3,1.9,0.6,0.5,0.3,0.2,1.3,-0.7,104.71
Boston Celtics,35,13,22,1.9,3.0,0.8,2.5,33.3,0.1,0.7,8.7,1.3,1.5,81.5,0.3,1.3,1.5,0.4,0.6,0.3,0.2,1.3,-1.2,101.0
Detroit Pistons,35,19,16,2.0,4.9,1.7,3.8,44.4,0.2,0.9,24.2,1.3,1.8,75.8,0.7,1.1,1.8,0.7,0.3,0.4,0.2,1.4,0.8,99.88
Miami Heat,35,21,14,2.0,4.7,1.3,3.1,40.0,0.3,1.0,31.4,1.9,2.5,75.3,0.7,1.2,1.9,0.7,0.4,0.2,0.2,1.7,0.7,101.15
Denver Nuggets,34,14,20,1.9,3.9,1.2,3.4,35.7,0.2,1.0,20.6,1.2,1.7,72.4,0.6,1.4,2.1,0.7,0.6,0.3,0.4,1.4,-0.2,107.57
Memphis Grizzlies,34,14,20,1.8,3.6,1.2,3.1,37.7,0.3,0.9,34.4,1.0,1.4,68.8,0.5,1.2,1.6,0.7,0.4,0.2,0.5,1.2,-0.3,100.95
Orlando Magic,34,17,17,1.8,3.0,0.9,2.9,29.9,0.1,0.5,25.0,1.2,1.8,66.1,0.7,0.9,1.6,0.3,0.6,0.2,0.3,1.1,-0.4,101.79
Sacramento Kings,33,14,19,1.8,4.0,1.1,2.7,41.6,0.3,0.9,37.9,1.4,1.8,77.0,0.2,0.9,1.2,0.8,0.5,0.4,0.1,1.3,-0.6,110.02
