Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
New Orleans Hornets,1,1,0,0.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0
Dallas Mavericks,3,2,1,2.0,5.7,1.0,3.3,30.0,0.3,1.0,33.3,3.3,4.3,76.9,0.7,1.3,2.0,0.7,0.0,0.3,0.3,0.0,3.0
Houston Rockets,3,2,1,1.2,3.0,0.3,1.3,25.0,0.0,0.3,0.0,2.3,3.7,63.6,0.7,0.7,1.3,0.3,0.3,0.3,0.0,0.3,1.0
Philadelphia 76ers,3,2,1,2.1,4.7,2.0,3.7,54.5,0.3,0.7,50.0,0.3,1.7,20.0,0.7,1.7,2.3,1.0,0.3,0.0,0.7,1.3,0.3
Los Angeles Lakers,8,5,3,2.5,6.6,1.8,3.3,53.8,0.6,1.3,50.0,2.5,3.1,80.0,0.3,1.1,1.4,0.9,0.5,0.5,0.3,1.5,0.6
Chicago Bulls,5,3,2,2.5,6.8,2.8,5.4,51.9,0.0,0.8,0.0,1.2,1.4,85.7,0.8,1.6,2.4,0.4,0.6,0.2,0.0,1.8,-0.4
Utah Jazz,2,1,1,1.7,4.5,1.5,2.0,75.0,0.0,0.5,0.0,1.5,2.0,75.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5
Orlando Magic,13,6,7,2.3,5.5,1.5,4.0,38.5,0.6,1.5,40.0,1.8,2.4,74.2,0.3,1.4,1.7,0.8,0.2,0.2,0.4,1.3,0.6
Boston Celtics,9,4,5,2.2,5.4,1.3,3.3,40.0,0.4,1.1,40.0,2.3,2.9,80.8,0.8,1.4,2.2,0.9,0.6,0.2,0.4,1.6,0.1
Cleveland Cavaliers,3,1,2,2.9,6.3,2.0,4.7,42.9,0.7,1.7,40.0,1.7,2.3,71.4,0.3,2.0,2.3,1.0,1.0,0.3,0.0,1.7,-1.3
Denver Nuggets,6,2,4,2.5,4.7,1.2,3.3,35.0,0.3,1.0,33.3,2.0,2.3,85.7,0.2,2.0,2.2,0.3,1.0,0.3,0.0,2.8,-2.5
Portland Trail Blazers,3,1,2,1.2,2.0,0.3,1.7,20.0,0.3,1.0,33.3,1.0,1.0,100,0.3,1.3,1.7,0.3,1.0,0.3,0.0,3.3,-1.0
San Antonio Spurs,1,0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
