Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
JR Smith,CLE,32,9,6,3,1.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0,-0.7
LeBron James,CLE,33,9,6,3,1.5,2.1,0.8,1.3,58.3,0.1,0.3,33.3,0.4,0.6,80.0,0.0,0.3,0.3,0.1,0.1,0.0,0.1,0.2,-0.8
Jeff Green,CLE,31,8,6,2,0.6,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.4,66.7,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.1,0.0
Al Horford,BOS,32,7,5,2,1.5,1.3,0.1,0.4,33.3,0.0,0.1,0.0,1.0,1.1,87.5,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.9
Kevin Love,CLE,29,7,4,3,1.6,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.3,0.0,0.0,0.3,-0.7
Jaylen Brown,BOS,21,6,4,2,1.6,0.7,0.3,0.8,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Jayson Tatum,BOS,20,6,4,2,1.8,1.3,0.5,0.7,75.0,0.0,0.0,0.0,0.3,0.3,100,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.8
Kyle Korver,CLE,37,6,5,1,1.4,0.5,0.2,0.3,50.0,0.2,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
Terry Rozier,BOS,24,6,5,1,1.7,1.8,0.5,0.5,100,0.3,0.3,100,0.5,0.5,100,0.0,0.2,0.2,0.3,0.0,0.2,0.0,0.0,1.5
Draymond Green,GSW,28,5,3,2,1.9,0.6,0.2,0.4,50.0,0.0,0.0,0.0,0.2,0.4,50.0,0.4,0.6,1.0,0.6,0.2,0.0,0.0,0.4,1.0
