Team,Pace
New York Knicks,98.41
Miami Heat,99.80
Orlando Magic,100.07
Utah Jazz,96.28
Charlotte Hornets,96.41
Portland Trail Blazers,100.11
Atlanta Hawks,95.58
Los Angeles Clippers,102.65
Minnesota Timberwolves,100.34
Sacramento Kings,96.59
Houston Rockets,105.14
Chicago Bulls,99.82
Los Angeles Lakers,98.14
Seattle SuperSonics,101.07
Toronto Raptors,100.59
Cleveland Cavaliers,97.07
Washington Bullets,100.91
Dallas Mavericks,106.81
Detroit Pistons,94.76
Milwaukee Bucks,104.67
Phoenix Suns,100.40
Indiana Pacers,97.77
Denver Nuggets,93.70
New Jersey Nets,103.11
San Antonio Spurs,102.21
Boston Celtics,104.24
Golden State Warriors,105.85
Philadelphia 76ers,97.36
Vancouver Grizzlies,96.29
