Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Eric Bledsoe,PHX,25,37,18,19,1.9,1.4,0.4,0.9,47.1,0.0,0.2,16.7,0.5,0.7,76.9,0.1,0.2,0.3,0.1,0.1,0.2,0.0,0.2,-0.2
Markieff Morris,PHX,25,37,18,19,1.8,1.2,0.5,0.9,52.9,0.0,0.2,16.7,0.2,0.3,80.0,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.2,-0.2
P.J. Tucker,PHX,30,34,15,19,1.7,0.4,0.1,0.3,44.4,0.0,0.1,0.0,0.2,0.2,75.0,0.1,0.4,0.6,0.1,0.1,0.1,0.0,0.2,-0.8
Tobias Harris,ORL,22,34,15,19,1.7,1.0,0.4,0.6,63.2,0.1,0.1,60.0,0.2,0.2,75.0,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.1,-0.2
Avery Bradley,BOS,24,33,17,16,1.8,0.9,0.3,0.6,42.9,0.1,0.3,44.4,0.2,0.2,87.5,0.0,0.2,0.3,0.1,0.1,0.0,0.0,0.3,0.3
Elfrid Payton,ORL,21,33,15,18,1.6,0.5,0.2,0.6,36.8,0.0,0.1,0.0,0.1,0.2,42.9,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.2,-0.1
Wesley Johnson,LAL,27,33,12,21,1.4,0.2,0.1,0.2,25.0,0.0,0.1,0.0,0.1,0.1,100,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.2,-1.0
Goran Dragic,MIA,29,32,17,15,1.9,0.6,0.2,0.3,60.0,0.0,0.1,25.0,0.2,0.2,85.7,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.3
Khris Middleton,MIL,23,32,14,18,1.6,0.5,0.2,0.5,33.3,0.1,0.3,44.4,0.1,0.1,50.0,0.0,0.3,0.3,0.1,0.1,0.0,0.1,0.1,-0.4
Marc Gasol,MEM,30,32,22,10,1.9,1.4,0.4,0.8,44.4,0.0,0.0,100,0.6,0.8,79.2,0.1,0.3,0.3,0.2,0.0,0.0,0.1,0.3,1.6
Tyreke Evans,NOP,25,32,18,14,1.8,1.1,0.3,1.0,33.3,0.0,0.2,0.0,0.4,0.5,70.6,0.0,0.3,0.3,0.4,0.2,0.0,0.0,0.2,0.4
Chris Paul,LAC,30,31,19,12,1.3,0.9,0.3,0.9,28.6,0.0,0.1,25.0,0.4,0.4,84.6,0.1,0.1,0.2,0.3,0.1,0.0,0.0,0.2,0.6
Damian Lillard,POR,24,31,17,14,1.9,1.3,0.4,1.3,28.2,0.1,0.5,20.0,0.5,0.6,77.8,0.0,0.3,0.4,0.2,0.1,0.1,0.1,0.1,0.0
Monta Ellis,DAL,29,31,23,8,1.5,1.9,0.5,1.2,47.2,0.0,0.2,0.0,0.8,0.9,89.3,0.0,0.0,0.1,0.2,0.2,0.1,0.0,0.2,1.0
Nikola Vucevic,ORL,24,31,13,18,1.8,0.8,0.3,0.7,39.1,0.0,0.0,0.0,0.3,0.3,80.0,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.4,-0.2
Pau Gasol,CHI,34,31,22,9,1.5,1.1,0.3,0.5,60.0,0.0,0.0,0.0,0.5,0.7,81.0,0.2,0.3,0.5,0.1,0.1,0.0,0.1,0.1,1.1
David West,IND,34,30,16,14,1.9,0.7,0.2,0.5,43.8,0.0,0.1,0.0,0.2,0.4,58.3,0.1,0.4,0.5,0.2,0.1,0.1,0.1,0.2,1.0
Giannis Antetokounmpo,MIL,20,30,15,15,1.6,0.2,0.1,0.2,28.6,0.0,0.0,0.0,0.1,0.2,40.0,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.2,-0.7
John Wall,WAS,24,30,15,15,1.9,1.6,0.5,1.1,43.8,0.1,0.1,50.0,0.6,0.8,70.8,0.0,0.1,0.1,0.4,0.3,0.0,0.0,0.4,0.6
Mike Conley,MEM,27,30,20,10,1.8,1.6,0.5,0.9,55.6,0.2,0.4,54.5,0.4,0.5,75.0,0.0,0.2,0.2,0.3,0.2,0.0,0.0,0.1,1.4
Roy Hibbert,IND,28,30,15,15,1.8,0.5,0.2,0.4,38.5,0.0,0.0,0.0,0.2,0.2,83.3,0.3,0.3,0.6,0.0,0.1,0.0,0.0,0.3,1.0
Victor Oladipo,ORL,23,30,12,18,1.7,1.3,0.4,1.0,38.7,0.1,0.2,42.9,0.4,0.5,73.3,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,-0.1
Arron Afflalo,POR,29,29,15,14,1.6,1.1,0.3,0.9,40.0,0.1,0.3,20.0,0.3,0.3,100,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.2,-0.2
Brandon Bass,BOS,30,29,16,13,1.1,0.3,0.1,0.2,50.0,0.0,0.0,0.0,0.1,0.1,100,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,-0.8
Chandler Parsons,DAL,26,29,21,8,1.5,0.7,0.3,0.4,61.5,0.0,0.1,0.0,0.1,0.1,100,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.2,1.1
Courtney Lee,MEM,29,29,21,8,1.4,0.5,0.1,0.2,50.0,0.0,0.1,33.3,0.2,0.3,77.8,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.1,1.7
DeAndre Jordan,LAC,26,29,18,11,1.4,0.2,0.0,0.1,50.0,0.0,0.0,0.0,0.2,0.2,71.4,0.1,0.4,0.6,0.0,0.1,0.1,0.1,0.1,0.5
Evan Turner,BOS,26,29,15,14,1.5,1.0,0.4,0.7,52.4,0.1,0.1,66.7,0.2,0.3,66.7,0.0,0.2,0.3,0.4,0.1,0.0,0.0,0.2,0.5
JJ Redick,LAC,31,29,17,12,1.1,0.4,0.0,0.3,10.0,0.0,0.3,0.0,0.4,0.4,84.6,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.5
Joe Johnson,BKN,34,29,17,12,1.8,1.2,0.3,0.9,29.6,0.1,0.3,37.5,0.5,0.7,78.9,0.1,0.2,0.3,0.2,0.1,0.0,0.0,0.1,0.2
Kentavious Caldwell-Pope,DET,22,29,10,19,1.8,0.6,0.2,0.6,37.5,0.1,0.4,25.0,0.1,0.2,60.0,0.1,0.2,0.3,0.0,0.0,0.1,0.0,0.2,-1.3
Patrick Patterson,TOR,26,29,16,13,2.2,0.7,0.2,0.4,41.7,0.1,0.2,33.3,0.2,0.3,77.8,0.3,0.3,0.6,0.1,0.0,0.0,0.1,0.1,-0.1
Trevor Ariza,HOU,29,29,18,11,1.7,0.5,0.1,0.3,40.0,0.1,0.3,37.5,0.1,0.1,100,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.2,-0.3
Andrew Wiggins,MIN,20,28,10,18,2.1,0.8,0.3,0.5,46.7,0.0,0.0,0.0,0.3,0.4,81.8,0.2,0.1,0.3,0.0,0.1,0.1,0.0,0.4,-1.0
Blake Griffin,LAC,26,28,17,11,1.2,0.7,0.2,0.4,60.0,0.0,0.0,0.0,0.3,0.3,77.8,0.1,0.3,0.4,0.1,0.3,0.1,0.1,0.3,0.3
Dirk Nowitzki,DAL,37,28,20,8,1.6,0.8,0.3,0.7,35.0,0.1,0.4,30.0,0.1,0.2,80.0,0.0,0.3,0.3,0.2,0.1,0.0,0.0,0.1,0.9
Gordon Hayward,UTA,25,28,11,17,1.7,1.4,0.4,1.1,38.7,0.0,0.2,20.0,0.5,0.6,82.4,0.1,0.1,0.2,0.1,0.2,0.0,0.0,0.2,-0.5
James Harden,HOU,25,28,18,10,1.7,2.0,0.5,1.2,45.5,0.2,0.3,55.6,0.8,1.0,75.0,0.1,0.1,0.2,0.2,0.3,0.2,0.0,0.4,-0.1
Marvin Williams,CHA,29,28,10,18,1.6,0.4,0.1,0.2,50.0,0.1,0.1,50.0,0.1,0.1,75.0,0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.2,-0.3
Tyson Chandler,DAL,32,28,21,7,1.6,0.3,0.1,0.2,40.0,0.0,0.0,0.0,0.1,0.3,50.0,0.3,0.3,0.5,0.0,0.1,0.0,0.1,0.3,0.9
CJ Miles,IND,28,27,14,13,1.6,1.0,0.2,0.7,26.3,0.2,0.5,38.5,0.4,0.4,91.7,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.3,0.8
Gerald Henderson,CHA,27,27,10,17,1.4,0.5,0.2,0.6,31.3,0.0,0.1,0.0,0.1,0.1,100,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0
Isaiah Thomas,BOS,26,27,15,12,1.6,0.9,0.2,0.7,31.6,0.0,0.4,10.0,0.4,0.5,92.3,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.4,0.5
Jimmy Butler,CHI,25,27,19,8,1.3,0.8,0.1,0.4,27.3,0.1,0.1,50.0,0.5,0.6,93.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,1.3
Josh Smith,HOU,29,27,13,14,1.3,0.6,0.3,0.6,46.7,0.0,0.1,25.0,0.1,0.3,25.0,0.1,0.3,0.4,0.1,0.0,0.0,0.0,0.1,-0.4
Paul Pierce,WAS,37,27,13,14,1.8,1.0,0.3,0.6,56.3,0.1,0.4,40.0,0.1,0.1,100,0.1,0.3,0.4,0.0,0.1,0.0,0.0,0.1,0.9
Thaddeus Young,BKN,27,27,13,14,2.1,1.0,0.4,0.8,52.4,0.0,0.1,50.0,0.1,0.3,42.9,0.3,0.4,0.6,0.1,0.0,0.1,0.0,0.2,-0.6
Tim Duncan,SAS,39,27,14,13,1.7,0.8,0.3,0.7,36.8,0.0,0.0,0.0,0.3,0.3,77.8,0.2,0.4,0.6,0.2,0.1,0.1,0.2,0.2,0.7
Derrick Favors,UTA,23,26,10,16,1.8,1.0,0.2,0.7,33.3,0.0,0.0,0.0,0.5,0.7,76.5,0.3,0.3,0.7,0.1,0.2,0.0,0.1,0.4,0.3
Eric Gordon,NOP,26,26,16,10,1.7,1.0,0.3,0.5,69.2,0.2,0.2,100,0.1,0.2,75.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.8
Jeff Green,MEM,28,26,13,13,1.9,1.1,0.2,0.8,22.7,0.0,0.2,0.0,0.7,0.8,95.0,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.1,0.3
Jordan Hill,LAL,27,26,11,15,1.7,0.8,0.3,0.6,43.8,0.0,0.0,0.0,0.3,0.3,77.8,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.5,-0.8
LaMarcus Aldridge,POR,29,26,16,10,1.8,2.0,0.7,1.1,67.9,0.0,0.0,0.0,0.5,0.6,86.7,0.3,0.3,0.7,0.0,0.1,0.1,0.0,0.2,0.1
Lou Williams,TOR,28,26,12,14,1.9,0.8,0.3,0.7,47.1,0.2,0.3,44.4,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.2,0.0,0.1,-0.7
Rajon Rondo,DAL,29,26,14,12,1.8,0.5,0.2,0.5,35.7,0.0,0.0,0.0,0.1,0.2,33.3,0.1,0.2,0.3,0.2,0.3,0.1,0.0,0.3,-0.1
Solomon Hill,IND,24,26,11,15,1.7,0.4,0.1,0.3,42.9,0.0,0.1,50.0,0.1,0.1,100,0.1,0.2,0.3,0.1,0.0,0.1,0.0,0.2,-0.4
Ty Lawson,DEN,27,26,13,13,1.7,0.6,0.2,0.7,35.3,0.0,0.1,33.3,0.1,0.1,100,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.2,-0.2
Anthony Morrow,OKC,29,25,7,18,1.1,0.4,0.1,0.3,42.9,0.0,0.2,25.0,0.1,0.1,100,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,-1.2
Corey Brewer,HOU,29,25,12,13,0.9,0.2,0.0,0.2,25.0,0.0,0.0,0.0,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.3
Dwyane Wade,MIA,33,25,12,13,1.7,1.3,0.4,1.3,27.3,0.0,0.2,16.7,0.6,0.8,73.7,0.1,0.1,0.2,0.4,0.1,0.1,0.0,0.2,-0.2
Jae Crowder,BOS,24,25,16,9,1.0,0.5,0.2,0.4,45.5,0.1,0.1,66.7,0.0,0.0,100,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.2
Jarrett Jack,BKN,31,25,15,10,1.5,0.6,0.2,0.5,41.7,0.0,0.2,25.0,0.2,0.2,100,0.0,0.2,0.2,0.2,0.1,0.0,0.0,0.1,0.6
Matt Barnes,LAC,35,25,13,12,1.0,0.2,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.4,0.2
Serge Ibaka,OKC,25,25,11,14,1.7,0.4,0.2,0.5,41.7,0.0,0.2,20.0,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.2,-0.8
Trey Burke,UTA,22,25,9,16,1.4,1.0,0.4,1.1,32.1,0.0,0.3,12.5,0.2,0.2,100,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,-0.1
Wayne Ellington,LAL,27,25,8,17,1.7,0.3,0.0,0.2,16.7,0.0,0.1,33.3,0.2,0.2,100,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-1.4
Wilson Chandler,DEN,28,25,12,13,1.8,0.6,0.2,0.3,57.1,0.2,0.2,80.0,0.1,0.2,60.0,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.4,-0.1
Zach Randolph,MEM,33,25,19,6,2.1,0.6,0.3,0.9,30.4,0.0,0.0,0.0,0.1,0.1,66.7,0.3,0.5,0.8,0.1,0.1,0.0,0.1,0.1,2.6
Zaza Pachulia,MIL,31,25,11,14,1.3,0.4,0.2,0.5,33.3,0.0,0.0,0.0,0.0,0.1,33.3,0.4,0.1,0.5,0.1,0.0,0.0,0.0,0.0,-0.1
