Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Boston Celtics,44,27,17,1.9,4.0,1.1,2.9,37.2,0.2,0.8,24.2,1.6,2.2,75.0,0.4,1.4,1.8,0.5,0.3,0.2,0.3,0.8,0.4
Washington Wizards,39,22,17,2.0,4.6,1.2,3.1,38.3,0.1,0.8,15.6,2.1,2.7,75.7,0.6,1.2,1.8,0.4,0.5,0.3,0.2,1.2,-0.2
Chicago Bulls,38,23,15,1.7,3.7,1.1,2.7,39.4,0.3,0.7,46.2,1.2,1.7,73.4,0.6,1.3,1.9,0.6,0.7,0.1,0.3,0.9,0.4
Los Angeles Clippers,38,13,25,2.1,4.7,1.4,3.4,40.5,0.1,0.6,23.8,1.8,2.3,77.5,0.7,1.2,1.9,1.0,0.4,0.3,0.1,1.4,-0.2
New York Knicks,38,13,25,1.9,3.6,1.1,3.2,33.3,0.3,0.9,28.6,1.2,1.7,69.8,0.4,1.2,1.6,0.6,0.3,0.2,0.2,1.4,-0.8
Philadelphia 76ers,38,22,16,2.1,4.2,1.1,3.5,30.6,0.2,0.7,28.6,1.9,2.2,83.5,0.8,1.6,2.4,0.6,0.6,0.1,0.2,1.4,-0.3
Charlotte Bobcats,37,11,26,1.9,3.9,1.2,2.9,42.2,0.2,0.6,28.6,1.2,1.8,68.2,0.4,0.8,1.2,0.7,0.6,0.2,0.2,1.4,-0.8
Milwaukee Bucks,37,17,20,1.6,4.5,1.1,2.4,46.7,0.1,0.4,25.0,2.2,2.5,87.0,0.3,1.3,1.6,0.5,0.5,0.2,0.1,1.4,0.4
New Orleans Hornets,37,12,25,1.7,3.5,0.9,3.0,29.1,0.3,0.9,31.3,1.5,1.9,80.0,0.5,1.0,1.5,0.5,0.4,0.2,0.0,1.4,-1.1
Orlando Magic,37,21,16,1.8,4.5,1.1,2.9,38.5,0.1,0.3,16.7,2.2,2.6,82.5,0.6,1.1,1.7,0.4,0.3,0.4,0.2,1.2,1.1
Sacramento Kings,37,23,14,2.1,4.9,1.5,3.5,42.2,0.4,1.0,42.1,1.6,1.9,81.9,0.4,1.1,1.5,0.9,0.3,0.3,0.1,1.3,0.3
Indiana Pacers,36,20,16,2.1,4.9,1.4,3.8,37.8,0.4,1.1,36.8,1.7,2.0,84.5,0.8,1.5,2.2,0.8,0.5,0.3,0.2,1.6,0.1
Los Angeles Lakers,36,17,19,1.9,4.0,1.0,2.7,37.5,0.4,1.3,34.8,1.6,2.1,77.0,0.4,1.1,1.5,0.4,0.3,0.2,0.3,1.1,0.1
Portland Trail Blazers,36,13,23,2.0,3.6,1.1,2.9,35.8,0.3,1.0,29.7,1.2,1.6,74.6,0.8,1.1,1.9,0.7,0.6,0.2,0.2,1.3,-0.9
Toronto Raptors,35,14,21,1.9,3.9,1.1,2.9,38.6,0.3,0.9,31.3,1.4,1.7,80.3,0.5,1.1,1.6,0.6,0.5,0.3,0.5,1.4,-0.1
Memphis Grizzlies,34,15,19,1.7,3.1,0.9,2.5,35.7,0.2,0.9,26.7,1.1,1.7,66.1,0.4,1.0,1.4,0.5,0.6,0.3,0.1,1.2,-0.8
Seattle SuperSonics,34,23,11,1.8,4.8,1.3,3.0,42.2,0.5,1.0,47.1,1.8,2.3,79.5,0.6,1.1,1.7,0.7,0.3,0.3,0.1,1.1,1.3
