Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Orlando Magic,1,1,0,1.7,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
New Jersey Nets,11,8,3,2.1,4.4,0.9,2.6,34.5,0.0,0.2,0.0,2.5,3.7,68.3,0.8,2.0,2.8,0.1,1.0,0.3,0.0,1.7,1.3
Dallas Mavericks,7,4,3,2.0,4.4,1.4,3.3,43.5,0.4,1.0,42.9,1.1,1.4,80.0,0.6,1.9,2.4,0.4,0.3,0.1,0.1,1.1,1.6
Detroit Pistons,6,3,3,2.3,4.2,1.0,3.0,33.3,0.2,0.7,25.0,2.0,2.7,75.0,0.2,1.3,1.5,0.5,0.7,0.2,0.2,1.5,-0.3
Indiana Pacers,2,1,1,2.4,3.0,0.5,4.0,12.5,0.0,1.0,0.0,2.0,2.0,100,0.5,1.5,2.0,0.0,0.0,0.0,1.5,2.0,-2.5
Milwaukee Bucks,4,2,2,2.0,2.8,0.8,3.3,23.1,0.0,0.3,0.0,1.3,2.5,50.0,0.5,1.3,1.8,0.3,0.5,1.0,0.3,2.0,-0.5
Minnesota Timberwolves,2,1,1,1.2,2.0,0.5,2.0,25.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3.0,-2.5
New Orleans Hornets,2,1,1,2.9,5.0,1.5,5.5,27.3,0.0,0.5,0.0,2.0,3.0,66.7,2.5,0.0,2.5,0.0,0.0,1.0,0.0,1.5,-3.5
Phoenix Suns,4,2,2,2.1,5.0,1.5,3.5,42.9,0.3,1.5,16.7,1.8,2.3,77.8,0.5,1.8,2.3,1.3,0.5,0.5,0.8,1.3,1.3
Sacramento Kings,4,2,2,1.3,2.8,0.8,2.8,27.3,0.5,1.0,50.0,0.8,1.0,75.0,0.8,0.8,1.5,0.8,0.0,0.0,0.0,1.0,-0.3
San Antonio Spurs,12,6,6,1.8,3.1,0.9,2.9,31.4,0.2,0.8,22.2,1.1,1.7,65.0,0.7,1.2,1.8,0.4,0.8,0.2,0.3,1.8,-0.8
Utah Jazz,2,1,1,0.7,2.5,0.5,1.0,50.0,0.0,0.0,0.0,1.5,2.0,75.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Lakers,5,2,3,1.3,3.2,0.2,1.4,14.3,0.0,0.8,0.0,2.8,3.2,87.5,0.2,0.8,1.0,0.0,0.2,0.4,0.2,1.0,1.0
Portland Trail Blazers,3,1,2,2.2,3.7,1.0,3.0,33.3,0.3,1.0,33.3,1.3,1.7,80.0,1.0,1.3,2.3,0.0,0.7,0.7,0.3,1.3,-2.3
Boston Celtics,4,1,3,2.4,4.3,0.5,4.0,12.5,0.3,2.0,12.5,3.0,3.5,85.7,0.3,1.3,1.5,0.3,0.0,0.3,0.0,1.5,-0.8
Philadelphia 76ers,5,1,4,2.8,6.8,2.4,3.6,66.7,0.4,0.8,50.0,1.6,2.2,72.7,0.6,1.4,2.0,1.2,0.8,0.4,0.0,1.8,1.2
